,cluster_std,correlated_features,distorted_features,n_clusters,n_features,n_instances,noisy_features,support_centroids,support_instances,support_cluster_std,support_noisy_features,support_correlated_features
0,0.174908023769472,0.611852894722379,0.122038234844778,3,6,100,0.40372007758203104,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0]]","[34, 33, 33]","[0.174908023769472, 0.174908023769472, 0.174908023769472]",2,3
1,0.290142861281983,0.139493860652041,0.49517691011127,3,5,1000,0.44804564996174606,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0]]","[334, 333, 333]","[0.290142861281983, 0.290142861281983, 0.290142861281983]",2,0
2,0.24639878836228102,0.29214464853521804,0.034388521115218,6,3,200,0.15900173748593102,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [0, 1, 1], [1, 0, 0], [1, 0, 1]]","[34, 34, 33, 33, 33, 33]","[0.24639878836228102, 0.24639878836228102, 0.24639878836228102, 0.24639878836228102, 0.24639878836228102, 0.24639878836228102]",0,0
3,0.21973169683940702,0.36636184329369104,0.9093204020787821,3,2,500,0.055025962263838005,"[[0, 0], [0, 1], [1, 0]]","[167, 167, 166]","[0.21973169683940702, 0.21973169683940702, 0.21973169683940702]",0,0
4,0.13120372808848701,0.45606998421703504,0.25877998160001603,3,3,2000,0.11396758127097001,"[[0, 0, 0], [0, 0, 1], [0, 1, 0]]","[667, 667, 666]","[0.13120372808848701, 0.13120372808848701, 0.13120372808848701]",0,1
5,0.13119890406724,0.785175961393013,0.6625222843539821,4,3,200,0.21355389431312802,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [0, 1, 1]]","[50, 50, 50, 50]","[0.13119890406724, 0.13119890406724, 0.13119890406724, 0.13119890406724]",0,2
6,0.11161672243363902,0.19967378215835901,0.31171107608941,2,5,500,0.40900738296124606,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1]]","[250, 250]","[0.11161672243363902, 0.11161672243363902]",2,0
7,0.27323522915498705,0.514234438413611,0.52006802117781,6,5,1000,0.43036529162817105,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 0], [0, 0, 1, 0, 1]]","[167, 167, 167, 167, 166, 166]","[0.27323522915498705, 0.27323522915498705, 0.27323522915498705, 0.27323522915498705, 0.27323522915498705, 0.27323522915498705]",2,2
8,0.220223002348641,0.592414568862042,0.5467102793432791,2,6,200,0.0034760652655950004,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1]]","[100, 100]","[0.220223002348641, 0.220223002348641]",0,3
9,0.24161451555920901,0.046450412719997,0.184854455525527,6,4,100,0.25537365128878203,"[[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 0, 1, 1], [0, 1, 0, 0], [0, 1, 0, 1]]","[17, 17, 17, 17, 16, 16]","[0.24161451555920901, 0.24161451555920901, 0.24161451555920901, 0.24161451555920901, 0.24161451555920901, 0.24161451555920901]",1,0
10,0.10411689885916,0.607544851901438,0.9695846277645581,5,2,200,0.20870550157438902,"[[0, 0], [0, 1], [1, 0], [1, 1], [0, 2]]","[40, 40, 40, 40, 40]","[0.10411689885916, 0.10411689885916, 0.10411689885916, 0.10411689885916, 0.10411689885916]",0,1
11,0.29398197043239804,0.170524123687291,0.7751328233611141,2,5,100,0.11105390523536501,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1]]","[50, 50]","[0.29398197043239804, 0.29398197043239804]",0,0
12,0.266488528160084,0.065051592985279,0.9394989415641891,2,5,2000,0.059932683666841007,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1]]","[1000, 1000]","[0.266488528160084, 0.266488528160084]",0,0
13,0.142467822135655,0.948885537253333,0.894827350427648,6,4,2000,0.168807585701813,"[[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 0, 1, 1], [0, 1, 0, 0], [0, 1, 0, 1]]","[334, 334, 333, 333, 333, 333]","[0.142467822135655, 0.142467822135655, 0.142467822135655, 0.142467822135655, 0.142467822135655, 0.142467822135655]",0,3
14,0.13636499344142,0.965632033074559,0.597899978811085,5,5,1000,0.471454851956259,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 0]]","[200, 200, 200, 200, 200]","[0.13636499344142, 0.13636499344142, 0.13636499344142, 0.13636499344142, 0.13636499344142]",2,4
15,0.136680901970686,0.808397348116461,0.921874235023116,5,4,2000,0.161601466010377,"[[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 0, 1, 1], [0, 1, 0, 0]]","[400, 400, 400, 400, 400]","[0.136680901970686, 0.136680901970686, 0.136680901970686, 0.136680901970686, 0.136680901970686]",0,3
16,0.160848448591907,0.30461376917337,0.08849250205191901,5,4,2000,0.259395310871683,"[[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 0, 1, 1], [0, 1, 0, 0]]","[400, 400, 400, 400, 400]","[0.160848448591907, 0.160848448591907, 0.160848448591907, 0.160848448591907, 0.160848448591907]",1,1
17,0.20495128632644702,0.09767211400638301,0.195982862419145,2,4,100,0.35150947944758804,"[[0, 0, 0, 0], [0, 0, 0, 1]]","[50, 50]","[0.20495128632644702, 0.20495128632644702]",1,0
18,0.18638900372842301,0.684233026512156,0.045227288910538004,3,2,2000,0.18181480118964702,"[[0, 0], [0, 1], [1, 0]]","[667, 667, 666]","[0.18638900372842301, 0.18638900372842301, 0.18638900372842301]",0,1
19,0.15824582803960802,0.440152493739601,0.325330330763264,2,2,500,0.48589104136048006,"[[0, 0], [0, 1]]","[250, 250]","[0.15824582803960802, 0.15824582803960802]",0,0
